browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",Windows,en-US,2023-06-09_16:31:18,2023-06-09_18:31:18,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=sabine1,797.256

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"200",test,O,word,m,3t1_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",733149,timeout,2989,"0"
"201",test,L,word,m,3t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",736148,timeout,2986,"0"
"202",test,D,word,m,3t3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",739148,timeout,2996,"0"
"203",test,K,word,m,3t4_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",742148,timeout,2996,"0"
"204",test,I,word,m,3t5_2,"1000",waitResponseWindow,"3000",m,"","",690;1000,"41","16.66",742837,m,682,"1"
"205",test,D,word,m,3t6_2C,"1000",waitResponseWindow,"3000",m,"","",490;1000,60;29,"16.66",745636,m,485,"1"
"206",test,A,word,m,3t7_2,"1000",waitResponseWindow,"3000",m,"","",436;1000,60;26,"16.66",748582,m,421,"1"
"207",test,E,word,m,3t8_2,"1000",waitResponseWindow,"3000",m,"","",582;1000,60;34,"16.66",751727,m,569,"1"
"208",test,B,word,m,3t9_2,"1000",waitResponseWindow,"3000",m,"","",444;1000,60;26,"16.66",754589,m,440,"1"
"209",test,S,word,m,3t10_2,"1000",waitResponseWindow,"3000",m,"","",366;1000,60;21,"16.66",757510,m,355,"1"
"210",test,P,word,m,3t11_2,"1000",waitResponseWindow,"3000",m,"","",414;1000,60;24,"16.66",760558,m,410,"1"
"211",test,B,word,m,3t12_2C,"1000",waitResponseWindow,"3000",m,"","",480;1000,60;28,"16.66",763623,m,470,"1"
"212",test,C,word,m,3t13_2,"1000",waitResponseWindow,"3000",m,"","",600;1000,60;35,"16.66",766743,m,590,"1"
"213",test,P,word,m,3t14_2C,"1000",waitResponseWindow,"3000",m,"","",369;1000,60;22,"16.66",769511,m,364,"1"
"214",test,R,word,m,3t15_2,"1000",waitResponseWindow,"3000",m,"","",363;1000,60;21,"16.66",772504,m,354,"1"
"215",test,C,word,m,3t16_2C,"1000",waitResponseWindow,"3000",m,"","",357;1000,60;21,"16.66",775498,m,348,"1"
"216",test,S,word,m,3t17_2,"1000",waitResponseWindow,"3000",m,"","",349;1000,60;20,"16.66",778489,m,345,"1"
"217",test,R,word,m,3t18_2C,"1000",waitResponseWindow,"3000",m,"","",366;1000,60;21,"16.66",781506,m,353,"1"
"218",test,K,word,m,3t19_2,"1000",waitResponseWindow,"3000",m,"","",334;1000,60;20,"16.66",784473,m,328,"1"
"219",test,C,word,m,3t20_2,"1000",waitResponseWindow,"3000",m,"","",351;1000,60;21,"16.66",787490,m,347,"1"
"220",test,S,word,m,3t21_2,"1000",waitResponseWindow,"3000",m,"","",360;1000,60;21,"16.66",790498,m,355,"1"
"221",test,K,word,m,3t22_2C,"1000",waitResponseWindow,"3000",m,"","",362;1000,60;21,"16.66",793500,m,346,"1"
"222",test,T,word,m,3t23_2,"1000",waitResponseWindow,"3000",m,"","",563;1000,60;33,"16.66",796700,m,556,"1"
