browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",MacOS,en-CA,2023-04-27_01:27:46,2023-04-26_21:27:46,2023-04-27_01:27:19,https://www.testable.org/experiment/11502/795217/start,672.069

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"156",test,C,word,m,3t13_2,"1000",waitResponseWindow,"3000",m,"","1000",121;120,"8.32",639070,timeout,2991,"0"
"157",test,P,word,m,3t14_2C,"1000",waitResponseWindow,"3000",m,"","1001","117","8.55",642076,timeout,2992,"0"
"158",test,R,word,m,3t15_2,"1000",waitResponseWindow,"3000",m,"","1000","118","8.48",645071,timeout,2989,"0"
"159",test,C,word,m,3t16_2C,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",648076,timeout,2997,"0"
"160",test,S,word,m,3t17_2,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",651079,timeout,2996,"0"
"161",test,R,word,m,3t18_2C,"1000",waitResponseWindow,"3000",m,"","1000","110","9.09",654079,timeout,2993,"0"
"162",test,K,word,m,3t19_2,"1000",waitResponseWindow,"3000",m,"","1004","120","8.37",657074,timeout,2985,"0"
"163",test,C,word,m,3t20_2,"1000",waitResponseWindow,"3000",m,"","1000","120","8.33",660075,timeout,2991,"0"
"164",test,S,word,m,3t21_2,"1000",waitResponseWindow,"3000",m,"",798;1004,"95","8.33",660872,m,786,"1"
"165",test,K,word,m,3t22_2C,"1000",waitResponseWindow,"3000",m,"","1000",121;120,"8.32",666080,timeout,2994,"0"
"166",test,T,word,m,3t23_2,"1000",waitResponseWindow,"3000",m,"","1000","116","8.62",669079,timeout,2990,"0"
